Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Characteristics[infect]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[single cell ID]
day14_mouse1_12392_cell07	ERS985596	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell07	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_7_	sequencing assay	ERX1225223	12392_7_1.fastq.gz	12392_7_1.fastq.gz	ERR1146421	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146421/ERR1146421_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 6
day14_mouse1_12392_cell07	ERS985596	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell07	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_7_	sequencing assay	ERX1225223	12392_7_2.fastq.gz	12392_7_2.fastq.gz	ERR1146421	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146421/ERR1146421_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 6
day14_mouse1_12392_cell08	ERS985597	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell08	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_8_	sequencing assay	ERX1225224	12392_8_1.fastq.gz	12392_8_1.fastq.gz	ERR1146422	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146422/ERR1146422_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 7
day14_mouse1_12392_cell08	ERS985597	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell08	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_8_	sequencing assay	ERX1225224	12392_8_2.fastq.gz	12392_8_2.fastq.gz	ERR1146422	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146422/ERR1146422_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 7
day14_mouse1_12392_cell09	ERS985598	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell09	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_9_	sequencing assay	ERX1225225	12392_9_1.fastq.gz	12392_9_1.fastq.gz	ERR1146423	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146423/ERR1146423_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 8
day14_mouse1_12392_cell09	ERS985598	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell09	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_9_	sequencing assay	ERX1225225	12392_9_2.fastq.gz	12392_9_2.fastq.gz	ERR1146423	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146423/ERR1146423_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 8
day14_mouse1_12392_cell10	ERS985599	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell10	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_10_	sequencing assay	ERX1225226	12392_10_1.fastq.gz	12392_10_1.fastq.gz	ERR1146424	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146424/ERR1146424_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 9
day14_mouse1_12392_cell10	ERS985599	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell10	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_10_	sequencing assay	ERX1225226	12392_10_2.fastq.gz	12392_10_2.fastq.gz	ERR1146424	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146424/ERR1146424_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 9
day14_mouse1_12392_cell11	ERS985600	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell11	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_11_	sequencing assay	ERX1225227	12392_11_1.fastq.gz	12392_11_1.fastq.gz	ERR1146425	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146425/ERR1146425_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 10
day14_mouse1_12392_cell11	ERS985600	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell11	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_11_	sequencing assay	ERX1225227	12392_11_2.fastq.gz	12392_11_2.fastq.gz	ERR1146425	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146425/ERR1146425_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 10
day14_mouse1_12392_cell12	ERS985601	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell12	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_12_	sequencing assay	ERX1225228	12392_12_1.fastq.gz	12392_12_1.fastq.gz	ERR1146426	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146426/ERR1146426_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 11
day14_mouse1_12392_cell12	ERS985601	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell12	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_12_	sequencing assay	ERX1225228	12392_12_2.fastq.gz	12392_12_2.fastq.gz	ERR1146426	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146426/ERR1146426_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 11
day14_mouse1_12392_cell13	ERS985602	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell13	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_13_	sequencing assay	ERX1225229	12392_13_1.fastq.gz	12392_13_1.fastq.gz	ERR1146427	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146427/ERR1146427_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 12
day14_mouse1_12392_cell13	ERS985602	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell13	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_13_	sequencing assay	ERX1225229	12392_13_2.fastq.gz	12392_13_2.fastq.gz	ERR1146427	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146427/ERR1146427_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 12
day14_mouse1_12392_cell14	ERS985603	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell14	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_14_	sequencing assay	ERX1225230	12392_14_1.fastq.gz	12392_14_1.fastq.gz	ERR1146428	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146428/ERR1146428_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 13
day14_mouse1_12392_cell14	ERS985603	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell14	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_14_	sequencing assay	ERX1225230	12392_14_2.fastq.gz	12392_14_2.fastq.gz	ERR1146428	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146428/ERR1146428_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 13
day14_mouse1_12392_cell15	ERS985604	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell15	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_15_	sequencing assay	ERX1225231	12392_15_1.fastq.gz	12392_15_1.fastq.gz	ERR1146429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146429/ERR1146429_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 14
day14_mouse1_12392_cell15	ERS985604	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell15	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_15_	sequencing assay	ERX1225231	12392_15_2.fastq.gz	12392_15_2.fastq.gz	ERR1146429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146429/ERR1146429_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 14
day14_mouse1_12392_cell16	ERS985605	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell16	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_16_	sequencing assay	ERX1225232	12392_16_1.fastq.gz	12392_16_1.fastq.gz	ERR1146430	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146430/ERR1146430_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 15
day14_mouse1_12392_cell16	ERS985605	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell16	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_16_	sequencing assay	ERX1225232	12392_16_2.fastq.gz	12392_16_2.fastq.gz	ERR1146430	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146430/ERR1146430_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 15
